,season,episode,rating,Michael,Dwight,Jim,Pam,Andy,Kevin,Angela,Oscar,Erin,Ryan,Darryl,Phyllis,Kelly,Jan,Toby,Stanley,Meredith,Nellie,Creed,Gabe,Roy
0,1.0,1.0,7.5,97.0,35.0,37.0,46.0,,2.0,5.0,6.0,,10.0,,2.0,,12.0,,5.0,,,,,5.0
1,1.0,2.0,8.3,103.0,40.0,35.0,26.0,,8.0,4.0,13.0,,7.0,,,2.0,,2.0,5.0,,,,,
2,1.0,3.0,7.8,69.0,88.0,57.0,44.0,,6.0,5.0,16.0,,1.0,,,,18.0,,6.0,3.0,,,,
3,1.0,4.0,8.1,111.0,74.0,63.0,37.0,,3.0,9.0,20.0,,5.0,,5.0,,,7.0,2.0,15.0,,,,3.0
4,1.0,5.0,8.4,134.0,45.0,27.0,17.0,,4.0,6.0,2.0,,8.0,17.0,4.0,,,,6.0,,,,,13.0
5,1.0,6.0,7.8,128.0,44.0,66.0,49.0,,7.0,3.0,1.0,,21.0,,,2.0,8.0,14.0,3.0,,,,,14.0
6,2.0,1.0,8.7,138.0,74.0,42.0,48.0,,4.0,4.0,4.0,,2.0,1.0,23.0,9.0,9.0,6.0,8.0,,,,,7.0
7,2.0,2.0,8.2,112.0,12.0,22.0,41.0,,9.0,4.0,1.0,,1.0,9.0,6.0,,11.0,26.0,1.0,1.0,,,,14.0
8,2.0,3.0,8.4,120.0,87.0,72.0,45.0,,13.0,8.0,13.0,,5.0,,4.0,,,4.0,3.0,1.0,,,,
9,2.0,4.0,8.4,79.0,80.0,67.0,28.0,,9.0,18.0,4.0,,50.0,,6.0,4.0,,2.0,7.0,4.0,,,,6.0
10,2.0,5.0,8.1,150.0,36.0,31.0,27.0,,2.0,14.0,7.0,,1.0,,5.0,3.0,10.0,7.0,5.0,,,27.0,,
11,2.0,6.0,8.2,102.0,77.0,54.0,27.0,,4.0,6.0,2.0,,18.0,,,4.0,,5.0,9.0,1.0,,,,
12,2.0,7.0,8.6,86.0,24.0,52.0,40.0,,2.0,1.0,5.0,,8.0,,6.0,1.0,55.0,1.0,1.0,,,,,1.0
13,2.0,8.0,8.2,147.0,67.0,48.0,35.0,,4.0,5.0,5.0,,14.0,,1.0,2.0,66.0,1.0,5.0,,,1.0,,
14,2.0,9.0,8.4,129.0,45.0,60.0,47.0,,12.0,14.0,6.0,,6.0,,7.0,2.0,,1.0,4.0,,,,,7.0
15,2.0,10.0,8.9,94.0,51.0,27.0,22.0,,14.0,10.0,20.0,,18.0,12.0,8.0,13.0,,7.0,5.0,12.0,,9.0,,8.0
16,2.0,11.0,8.6,116.0,28.0,32.0,22.0,,,2.0,4.0,,6.0,5.0,8.0,7.0,17.0,3.0,10.0,3.0,,6.0,,16.0
17,2.0,12.0,9.1,146.0,68.0,61.0,57.0,,2.0,6.0,4.0,,16.0,,3.0,1.0,,13.0,4.0,1.0,,1.0,,
18,2.0,13.0,8.3,114.0,54.0,53.0,28.0,,8.0,5.0,9.0,,14.0,,,5.0,,3.0,3.0,,,3.0,,
19,2.0,14.0,7.9,126.0,47.0,36.0,28.0,,8.0,4.0,5.0,,13.0,5.0,2.0,13.0,,8.0,8.0,,,9.0,,8.0
20,2.0,15.0,8.2,88.0,16.0,24.0,30.0,,4.0,5.0,,,2.0,28.0,9.0,9.0,55.0,,1.0,5.0,,,,20.0
21,2.0,16.0,8.3,53.0,29.0,25.0,30.0,,8.0,4.0,5.0,,4.0,,5.0,13.0,16.0,,,3.0,,3.0,,5.0
22,2.0,17.0,8.5,75.0,64.0,36.0,24.0,,4.0,4.0,3.0,,14.0,,8.0,5.0,,4.0,6.0,1.0,,4.0,,
23,2.0,18.0,8.3,81.0,27.0,24.0,26.0,,7.0,10.0,4.0,,12.0,5.0,1.0,8.0,,13.0,9.0,2.0,,5.0,,3.0
24,2.0,19.0,8.1,99.0,46.0,23.0,26.0,,15.0,13.0,7.0,,10.0,,2.0,4.0,5.0,8.0,3.0,1.0,,,,
25,2.0,20.0,8.4,62.0,92.0,26.0,26.0,,7.0,8.0,8.0,,7.0,,7.0,9.0,1.0,9.0,9.0,2.0,,2.0,,
26,2.0,21.0,8.7,95.0,50.0,37.0,26.0,,5.0,12.0,9.0,,5.0,,15.0,2.0,,22.0,4.0,1.0,,3.0,,
